"","county","id","odate","capacity.KW","rotor.diameter.m","hub.heigh.m","Manufacture","Type.designation","county.no","Type.of.location","Cadastral.district","Cadastral.no","X.east.coordinate","Y.north.coordinate","Distribution.company.number","Type.of.connection","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","ddate","eastWest","fullLoad","scrapped","time","survival","under100","under150","under450","InstallYear"
"7320","Ålborg","w570715000000011566",1990-04-10, 300, 28.00, 31.00,"Nordtank","NTK 300-Nordtank",851,"LAND","nørrekær enge","30b",  525021.1,  6318842.5,"WNR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 260250, 398850, 391825, 414642, 420219, 377404, 329775, 351389, 392726, 343528, 366068, 293637, 284383, 328746,  408035,  377937, 331328,  473721, 351941,NA,NA,NA,2008-12-19,"east",1232.19863,1, 6828, 6828 ,0,0,1,"1990"
"7321","Ålborg","w570715000000008917",1991-02-07, 150, 24.00, 30.00,"BONUS","150/30   - MK ll",851,"LAND","Nøtten by","1u",  556835.6,  6310338.8,"259","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 305913, 372300, 369110, 402290, 353400, 312780, 331250, 352580, 290723, 325421, 280414, 317621, 276156,  318139,  290053, 275284,  328615, 295411,  286241,  266438,  297706,NA,"east",2120.78105,0, 7845, 7845+,0,1,1,"1991"
"7322","Ålborg","w570715000000009884",1997-12-10, 750, 44.00, 42.00,"NEG Micon","NM 750-175/44",851,"LAND","Lundgårde","2a",  531627.9,  6315903.3,"491","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  18529,1560587,1446900,1304527,1279120,1343934,1222260, 1332312, 1278226,1173468,  967514,1305175, 1072364, 1172482, 1436106,NA,"east",1688.08913,0, 5347, 5347+,0,0,0,"1997"
"7323","Ålborg","w570715000000013263",1996-12-31, 750, 44.00, 46.00,"NEG Micon","NM 44/750",851,"LAND","Horsens By, Horsens","21p",  562667.2,  6327450.2,"72000-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0,1128767,1518146,1189749,1353751,1133342,1151815,1025131, 1163585, 1093302, 953891, 1269268,1158351, 1017492,  941771, 1156576,NA,"east",1533.17724,0, 5691, 5691+,0,0,0,"1996"
"7324","Ålborg","w570715000000008443",1989-11-07, 150, 23.00, 30.00,"BONUS","150/30 kW",851,"LAND","Volstrup by","2n",  547949.9,  6314146.9,"215","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  34443, 406968, 387381, 396450, 372700, 404180, 375120, 306220, 338830, 360750, 354947, 361176, 308214, 321182, 293150,  334174,  322378, 271236,  312785, 331209,  291653,  281342,  352476,NA,"east",2264.14127,0, 8302, 8302+,0,1,1,"1989"
"7325","Ålborg","w570715000000012372",1991-03-27, 200, 26.00, 30.00,"Wincon","W 200/26",851,"LAND","Østbjerg, Hammer","24i",  560925.5,  6328281.4,"70050-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 235460, 314380, 342270, 382630, 295860, 274020, 306710, 316620, 269408, 308818, 274665, 272251, 240969,  278187,  250097, 212062,  262388, 290137,  253463,  217683,  302998,NA,"east",1411.21526,0, 7797, 7797+,0,0,1,"1991"
"7326","Ålborg","w570715000000012389",1991-03-27, 200, 26.00, 30.00,"Wincon","W 200/26",851,"LAND","Østbjerg, Hammer","24i",  560812.7,  6328232.0,"70050-02","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 244340, 322390, 349590, 400470, 330380, 295760, 334160, 330170, 300689, 335669, 285532, 291604, 267680,  311339,  278887, 248430,  325944, 294425,  282613,  243764,  311639,NA,"east",1534.07789,0, 7797, 7797+,0,0,1,"1991"
"7327","Ålborg","w570715000000012525",1993-11-23, 300, 31.00, 29.30,"BONUS","COMBI 300",851,"LAND","Gåser, Ø. Hasseng","36",  573708.9,  6320690.0,"70060-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  65990, 609580, 514030, 474510, 503770, 535920, 454530, 501540, 436217, 448866, 393109,  431801,  457256, 373883,  510952, 288713,  419701,  355435,  491058,NA,"east",1511.72804,0, 6825, 6825+,0,0,1,"1993"
"7328","Ålborg","w570715000000010743",2000-12-28, 750, 44.00, 45.00,"NEG Micon","NM 44/750",851,"LAND","Nyrup by","3i",  541872.3,  6318906.7,"454","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   3755,1213668,1296839,1158801, 1333309, 1263556,1131553, 1479202,1299950, 1158701, 1104593, 1365202,NA,"east",1658.68960,0, 4233, 4233+,0,0,0,"2000"
"7329","Ålborg","w570715000000013331",1999-02-16, 750, 44.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Fjordengene, Hammer","30d",  561641.3,  6328242.7,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0,      0, 806100,1221200,1082486,1106604,1011585, 1149568, 1059690, 954138, 1194222,1173097, 1018365,  957512, 1205805,NA,"east",1306.10944,0, 4914, 4914+,0,0,0,"1999"
